X,Y,Tangent X,Tangent Y,Fixed Theta,Reversed,Name
1.143,-2.286,0.762,0.0,true,false,
4.1656,-2.4892,1.3462,-0.75,true,false,
3.8354,-3.81,-2.9464,0.0,true,false,
3.2,-2.4,1.3462,0.5334,true,false,
6.1468,-2.2352,1.905,0.508,true,false,
6.35,-0.8636,-0.75,1.0,true,false,
4.979121030153174,-0.4808227096111235,-0.3816061141260718,-0.11339764297870969,true,false,
4.5,-1.5,0.2286,-2.5,true,false,
7.0,-3.683,1.5,-0.2286,true,false,
7.8,-3.0734,0.1016,1.5,true,false,
6.6779300600494516,-2.4077839504190615,-1.8542,0.0254,true,false,
0.3556,-2.4,-0.508,0.0,true,false,
