X,Y,Tangent X,Tangent Y,Fixed Theta,Reversed,Name
1.143,3.81,2.031690517,0.03546329,true,false,
2.2606,3.0734,0.3302,-1.016,true,false,
2.9972,2.3114,0.8382,-0.254,true,false,
4.572,2.1082,1.0668,0.0254,true,false,
6.1976,2.2606,1.0414,0.4826,true,false,
6.8834,3.048,0.8382,2.0574,true,false,
8.4074,2.9972,-0.0508,-2.54,true,false,
6.858,3.048,-0.762,1.905,true,false,
5.969,3.6576,-0.8128,0.2032,true,false,
4.5212,3.8354,-0.9398,-0.0254,true,false,
3.0988,3.7084,-1.905,-0.381,true,false,
2.286,3.0226,-0.508,-1.27,true,false,
1.0414,2.2606,-1.872447555,-0.163817934,true,false,
