X,Y,Tangent X,Tangent Y,ddx,ddy
1.143,3.81,2.031690517,0.03546329,0,0
2.2606,3.0734,0.3302,-1.016,0.8382,-1.7272
2.9972,2.3114,0.8382,-0.254,0.508,0.381
4.572,2.1082,1.0668,0.0254,-0.889,0.0762
6.1976,2.2606,1.0414,0.4826,-3.6576,-0.6604
6.8834,3.048,0.8382,2.0574,1.1176,5.2324
8.4074,2.9972,-0.0508,-2.54,-7.6454,-0.0508
6.858,3.048,-0.762,1.905,0.5334,-5.461
5.969,3.6576,-0.8128,0.2032,-2.4638,0.5588
4.5212,3.8354,-0.9398,-0.0254,2.4638,-0.127
3.0988,3.7084,-1.905,-0.381,5.8166,-0.508
2.286,3.0226,-0.508,-1.27,-0.7366,-1.7018
1.0414,2.2606,-1.872447555,-0.163817934,0,0
